Sequence  | Address         | Length  | Uri                                                                                                           | OpSig                                                                                                         | Data
261       | 7ff7c8280890h   | 103     | hex://bitcore/gbits?bitcopy#bitcopy_g[32i](32i,8u,8u,32i~ref)                                                 | ref int bitcopy<int>(int src, byte index, byte count, ref int dst)                                            | 0f 1f 44 00 00 41 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 41 83 e2 1f 41 8b ca 41 d3 e0 41 f7 d0 41 23 c0 41 8b ca d3 e2 0b c2 41 89 01 49 8b c1 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
262       | 7ff7c8280900h   | 103     | hex://bitcore/gbits?bitcopy#bitcopy_g[64u](64u,8u,8u,64u~ref)                                                 | ref ulong bitcopy<ulong>(ulong src, byte index, byte count, ref ulong dst)                                    | 0f 1f 44 00 00 49 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 e8 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 b8 f3 d0 41 83 e2 3f 41 8b ca 49 d3 e0 49 f7 d0 49 23 c0 41 8b ca 48 d3 e2 48 0b c2 49 89 01 49 8b c1 c3 cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
263       | 7ff7c8280970h   | 103     | hex://bitcore/gbits?bitcopy#bitcopy_g[64i](64i,8u,8u,64i~ref)                                                 | ref long bitcopy<long>(long src, byte index, byte count, ref long dst)                                        | 0f 1f 44 00 00 49 8b 01 0f b6 d2 44 8b d2 45 0f b6 c0 45 8b d8 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 e8 f7 d1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 b8 f3 d0 41 83 e2 3f 41 8b ca 49 d3 e0 49 f7 d0 49 23 c0 41 8b ca 48 d3 e2 48 0b c2 49 89 01 49 8b c1 c3 cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
264       | 7ff7c82809e0h   | 119     | hex://bitcore/gbits?bitcopy#bitcopy_g[8u](8u,8u,8u,8u,8u)                                                     | byte bitcopy<byte>(byte src, byte srcidx, byte dstidx, byte count, byte dst)                                  | 0f 1f 44 00 00 0f b6 c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 0f b6 c1 8b 4c 24 28 44 0f b6 c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 0f b6 d2 41 8b c8 d3 e0 0f b6 c0 0b c2 0f b6 c0 c3 cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
265       | 7ff7c8280a60h   | 247     | hex://bitcore/gbits?bitcopy#bitcopy_g[8i](8i,8u,8u,8u,8i)                                                     | sbyte bitcopy<sbyte>(sbyte src, byte srcidx, byte dstidx, byte count, sbyte dst)                              | 0f 1f 44 00 00 48 0f be c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 48 0f be c1 8b 4c 24 28 4c 0f be c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 48 0f be d2 41 8b c8 d3 e0 48 0f be c0 0b c2 48 0f be c0 c3 cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 7e 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b7 c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 0f b7 c1 8b 4c 24 28 44 0f b7 c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 0f b7 d2 41 8b c8 d3 e0 0f b7 c0 0b c2 0f b7 c0 c3 cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
266       | 7ff7c8280ae0h   | 119     | hex://bitcore/gbits?bitcopy#bitcopy_g[16u](16u,8u,8u,8u,16u)                                                  | ushort bitcopy<ushort>(ushort src, byte srcidx, byte dstidx, byte count, ushort dst)                          | 0f 1f 44 00 00 0f b7 c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 0f b7 c1 8b 4c 24 28 44 0f b7 c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 0f b7 d2 41 8b c8 d3 e0 0f b7 c0 0b c2 0f b7 c0 c3 cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
267       | 7ff7c8280b60h   | 771     | hex://bitcore/gbits?bitcopy#bitcopy_g[16i](16i,8u,8u,8u,16i)                                                  | short bitcopy<short>(short src, byte srcidx, byte dstidx, byte count, short dst)                              | 0f 1f 44 00 00 48 0f bf c9 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c9 48 0f bf c1 8b 4c 24 28 4c 0f bf c9 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 81 f2 ff ff 00 00 41 23 d1 48 0f bf d2 41 8b c8 d3 e0 48 0f bf c0 0b c2 48 0f bf c0 c3 cc 00 19 00 00 00 40 00 00 00 00 00 00 00 58 7f 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 f7 d2 23 54 24 28 41 8b c8 d3 e0 0b c2 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 7f 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 f7 d2 23 54 24 28 41 8b c8 d3 e0 0b c2 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 68 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 f0 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 c8 81 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 44 0f b6 10 0f b6 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b6 c9 41 8b c8 d3 e2 0f b6 d2 41 0b d1 0f b6 d2 88 10 c3 cc 19 00 00 00 40 00 00 00 58 82 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
268       | 7ff7c8280be0h   | 643     | hex://bitcore/gbits?bitcopy#bitcopy_g[32u](32u,8u,8u,8u,32u)                                                  | uint bitcopy<uint>(uint src, byte srcidx, byte dstidx, byte count, uint dst)                                  | 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 f7 d2 23 54 24 28 41 8b c8 d3 e0 0b c2 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 e0 7f 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 f7 d2 23 54 24 28 41 8b c8 d3 e0 0b c2 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 68 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 f0 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 c8 81 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 44 0f b6 10 0f b6 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b6 c9 41 8b c8 d3 e2 0f b6 d2 41 0b d1 0f b6 d2 88 10 c3 cc 19 00 00 00 40 00 00 00 58 82 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
269       | 7ff7c8280c40h   | 547     | hex://bitcore/gbits?bitcopy#bitcopy_g[32i](32i,8u,8u,8u,32i)                                                  | int bitcopy<int>(int src, byte srcidx, byte dstidx, byte count, int dst)                                      | 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 78 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 f0 f3 d2 8b d1 45 0f b6 c0 41 83 e0 1f 41 8b c8 d3 e2 f7 d2 23 54 24 28 41 8b c8 d3 e0 0b c2 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 68 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 f0 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 c8 81 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 44 0f b6 10 0f b6 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b6 c9 41 8b c8 d3 e2 0f b6 d2 41 0b d1 0f b6 d2 88 10 c3 cc 19 00 00 00 40 00 00 00 58 82 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
270       | 7ff7c8280ca0h   | 451     | hex://bitcore/gbits?bitcopy#bitcopy_g[64u](64u,8u,8u,8u,64u)                                                  | ulong bitcopy<ulong>(ulong src, byte srcidx, byte dstidx, byte count, ulong dst)                              | 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 f0 80 27 c8 f7 7f 00 00 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 c8 81 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 44 0f b6 10 0f b6 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b6 c9 41 8b c8 d3 e2 0f b6 d2 41 0b d1 0f b6 d2 88 10 c3 cc 19 00 00 00 40 00 00 00 58 82 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
271       | 7ff7c8280d00h   | 355     | hex://bitcore/gbits?bitcopy#bitcopy_g[64i](64i,8u,8u,8u,64i)                                                  | long bitcopy<long>(long src, byte srcidx, byte dstidx, byte count, long dst)                                  | 0f 1f 44 00 00 0f b6 c2 41 0f b6 d1 44 8b ca 41 c1 e1 08 41 0b c1 0f b7 c0 c4 e2 f8 f7 c1 8d 4a ff ba 01 00 00 00 48 d3 e2 c4 e2 e8 f3 d2 45 0f b6 c0 41 83 e0 3f 41 8b c8 48 d3 e2 48 f7 d2 48 23 54 24 28 41 8b c8 48 d3 e0 48 0b c2 c3 cc 00 19 00 00 00 40 00 00 00 c8 81 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 44 0f b6 10 0f b6 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b6 c9 41 8b c8 d3 e2 0f b6 d2 41 0b d1 0f b6 d2 88 10 c3 cc 19 00 00 00 40 00 00 00 58 82 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
272       | 7ff7c8280d60h   | 259     | hex://bitcore/gbits?bitcopy#bitcopy_g[8u](8u,8u,8u,8u,8u~ref)                                                 | ref byte bitcopy<byte>(byte src, byte srcidx, byte dstidx, byte count, ref byte dst)                          | 0f 1f 44 00 00 48 8b 44 24 28 44 0f b6 10 0f b6 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b6 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b6 c9 41 8b c8 d3 e2 0f b6 d2 41 0b d1 0f b6 d2 88 10 c3 cc 19 00 00 00 40 00 00 00 58 82 27 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
273       | 7ff7c8280de0h   | 131     | hex://bitcore/gbits?bitcopy#bitcopy_g[8i](8i,8u,8u,8u,8i~ref)                                                 | ref sbyte bitcopy<sbyte>(sbyte src, byte srcidx, byte dstidx, byte count, ref sbyte dst)                      | 0f 1f 44 00 00 48 8b 44 24 28 4c 0f be 10 48 0f be c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f be d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f be c9 41 8b c8 d3 e2 48 0f be d2 41 0b d1 48 0f be d2 88 10 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
274       | 7ff7c8280e70h   | 131     | hex://bitcore/gbits?bitcopy#bitcopy_g[16u](16u,8u,8u,8u,16u~ref)                                              | ref ushort bitcopy<ushort>(ushort src, byte srcidx, byte dstidx, byte count, ref ushort dst)                  | 0f 1f 44 00 00 48 8b 44 24 28 44 0f b7 10 0f b7 c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 0f b7 d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 45 0f b7 c9 41 8b c8 d3 e2 0f b7 d2 41 0b d1 0f b7 d2 66 89 10 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
275       | 7ff7c8280f00h   | 135     | hex://bitcore/gbits?bitcopy#bitcopy_g[16i](16i,8u,8u,8u,16i~ref)                                              | ref short bitcopy<short>(short src, byte srcidx, byte dstidx, byte count, ref short dst)                      | 0f 1f 44 00 00 48 8b 44 24 28 4c 0f bf 10 48 0f bf c9 0f b6 d2 45 0f b6 c9 45 8b d9 41 c1 e3 08 41 0b d3 0f b7 d2 c4 e2 68 f7 c9 48 0f bf d1 41 8d 49 ff 41 b9 01 00 00 00 49 d3 e1 c4 c2 f0 f3 d1 44 8b c9 45 0f b6 c0 41 83 e0 1f 41 8b c8 41 d3 e1 41 81 f1 ff ff 00 00 45 23 ca 4d 0f bf c9 41 8b c8 d3 e2 48 0f bf d2 41 0b d1 48 0f bf d2 66 89 10 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
